word,clue,is_technical_word,is_common_english,is_plural,categories,obscure
COALS,What's left after coal has been burned,False,True,True,"minerals,materials,fuels",False
COALSHED,"A place to store coal, not a candy shop",False,True,False,"building,resources,industry,mining",False
COALSHEDS,"A place to store coal, but not in a mine.",False,True,True,"building,storage,archaic",False
COALTERNATIVE,"A renewable energy source that's not coal, nor a synonym for alternative facts.",False,True,False,"energy,sources,renewable,power,resources",False
COALY,"Like the color of a fire's heart, but not truly black",False,True,False,"color,coal,mineral",False
COALYARD,"A place where coal is stored or processed, often near a railway line.",False,True,False,"industry,transportation,mining,geography",False
COALYARDS,Where coal is stored before being shipped,False,True,True,"location,industry,mining",False
COANNEXED,What do you call someone who's connected,False,True,False,"verb,grammar",False
COANNEXING,"Joining strings together, like a long line of friends at a party.",False,True,False,"programming,computing,coding,software,development,strings,concatenation",False
COAPPRENTICE,"A beginner learning from a master, not in plural form",False,True,False,"noun,occupation,learning,training",False
COAPTS,"A phrase meaning 'to cope with', but this word is likely a typo.",False,True,False,"grammar,parts of speech",False
COARCTED,"A verb meaning to be constricted or compressed, often in a metaphorical sense.",False,True,False,"grammar,verbs,language",False
COARDENT,"A person who guides others, like a shepherd",False,True,False,"noun,leadership,shepherding",False
COARSE,"Like sandpaper, not smooth or refined",False,True,False,"adjective,textiles,mining,agriculture,food_and_drink",False
COARSELY,"Roughly, not finely or delicately",False,True,False,"adverb,language",False
COARSEN,To become rough or coarse in texture or quality.,False,True,False,"verb,language,grammar",False
COARSENESS,What's the texture of a burlap sack,False,True,False,"adjective,texture,material,negative,description",False
COARSER,Of a rougher texture or quality.,False,True,False,"adjective,texture,quality",False
COARSEST,"The most rough or unrefined, in any state",False,True,False,"adjective,state",False
COARSISH,"Rough, crude behavior",False,True,False,"adjective,behavior,social",False
COASSISTANCE,A misspelled word that means help from another person,False,True,False,"noun,help,assistance",False
COAST,"The edge where land meets water, not just a tan line",False,True,False,"geography,nautical,landforms,borders",False
COASTAL,"Like a beach, but not quite as sandy",False,True,False,"geography,adjectives",False
COASTALLY,"Like waves gently touching shore, this adverb suggests a pattern near the sea's edge.",False,True,False,"adverb,location,water,travel",False
COASTED,"Relaxed on the shore, without a care in the world.",False,True,False,"verb,synonyms:rested,cruised,loafed",False
COASTER,A small mat used to catch spills from drinks,False,True,False,"furniture,home,household,drink,table",False
COASTERS,What protects furniture from liquid damage,False,True,True,"furniture,home,household,products",False
COASTGUARD,"A group protecting shores, not a dessert topping",False,True,False,"government,military,protecting,water,nautical",False
COASTGUARDMAN,"He protects shorelines, not shores",False,True,False,"military,nautical,government",False
COASTGUARDSMAN,"He protects the shoreline, but not with a sword's gleam.",False,True,False,"military,nautical,occupations",False
COASTGUARDSMEN,"These brave men protect our shores, but are they singular or plural",False,True,True,"plural,nouns,military",False
COASTING,"In a relaxed state, moving smoothly along the edge",False,True,False,"verb,transportation,sloping,slang",False
COASTINGS,What protects and adorns surfaces,False,True,False,"paint,protect,cover,surface,material,construction,industry,technology",False
COASTLAND,"Land near the shore, not in the sea",False,True,False,"geography,landforms",False
COASTLINE,"The border where land meets sea, not found in a book's chapters.",False,True,False,"geography,navigation,environment",False
COASTLINES,"Borders where land meets sea, in plural form",False,True,True,"geography,oceans,landforms,borders",False
COASTMEN,"These protectors patrol the shore, keeping us safe from danger's roar.",False,True,False,"military,nautical,safety",False
COASTS,"Borders where land meets sea, not found in the heart of cities.",False,True,True,"geography,nautical,landforms",False
COASTSIDE,"A place near the shore, but not quite on the beach",False,True,False,"geography,location",False
COASTWAITER,"A group that protects shorelines, not a seaside waiter",False,True,False,"government,nautical,protecting,safety",False
COASTWARD,"Heading toward the shore, in any direction",False,True,False,"directional,adjective",False
COASTWAYS,"A series of scenic coastal roads, often associated with picturesque views.",False,True,True,"geography,roads,natural-features",False
COASTWISE,"Travels only near the shore, never venturing far out to sea.",False,True,False,"nautical,shipping,maritime,geography",False
COAT,An outer garment to protect from the elements.,False,True,False,"clothing,weather,garment",False
COATDRESS,A dress that's more than just a cover-up.,False,True,False,"fashion,clothing,apparel",False
COATED,"Like a freshly buttered scone, but not sweet.",False,True,False,"physical_state,adjectives",False
COATEES,"A type of footwear worn by pirates, often made of leather.",False,True,True,"clothing,shoes",False
COATERS,"What's found on a diner counter, spreading butter or margarine",False,True,True,"food,kitchen,restaurant,equipment",False
COATHANGERS,What are you when you're hanging your coats,False,True,True,"clothing,plurals,nouns",False
COATI,"A small mammal that's not a coat, but might make you say 'oh, I see!'",False,True,False,"mammals,animals,primates",False
COATIE,"A small, furry creature that likes to raid bird nests",False,True,False,"animals,mammals",False
COATING,What's applied to protect or decorate,False,True,False,"material,layer,paint,varnish,lacquer",False
COATINGS,What you put on top to protect or decorate,False,True,True,"materials,protective,decorative,paints,varnishes",False
COATLESS,"Without a coat, feeling quite bare",False,True,False,"adjective,synonym",False
COATRACK,A place to hang your outerwear,False,True,False,"furniture,home,storage",False
COATRACKS,Plural items for hanging outerwear vertically,False,True,True,"furniture,home,decor,storage",False
COATROOM,"A room where people hang their coats, not a place to sleep in",False,True,False,"room,coat,hang,place",False
COATROOMS,"A room where coats are stored, plural",False,True,True,"room,storage,plurals",False
COATS,What you wear to keep warm in cold weather,False,True,False,"clothing,weather,outdoor gear",False
COATTAIL,What's often used to gain advantage,False,True,False,"animal,idiom,social",False
COATTAILS,What's left behind when you shed your coat,False,True,True,"clothing,phrases",False
COATTEST,"Layered in warmth, yet shy",False,True,False,"adjective,noun",False
COATTESTATION,"A formal agreement, like a coat that's well-fitted",False,True,False,"noun,agreement,formal,legal",False
COATTESTATOR,Who carries out the final wishes of a will,False,True,False,"noun,legal,profession",False
COAUTHOR,"A collaborator in writing, not singular",False,True,False,"noun,personal,academic,scholarly,writing,authorship",False
COAUTHORING,"Working together to write something, like a book or article",False,True,False,"verb,noun,cooperative,collaboration,writing,academia",False
COAUTHORITY,"A shared authority figure, but not in a software sense",False,True,False,"title,surname,proper_noun",False
COAUTHORS,"Authors who collaborate, not just one author",False,True,True,"plural,nouns,writing,authorship",False
COAX,A verb meaning to persuade gently or cajolingly,False,True,False,"verb,communication",False
COAXED,"Gently persuaded, in past tense",False,True,False,"verb,past,tense",False
COAXER,"A manipulator, one who gently persuades others",False,True,False,"verb,noun,personality,communication",False
COAXERS,Those who persistently persuade with gentle pressure,False,True,True,"verbs,people",False
COAXES,What's often used to guide animals or extract information,False,True,True,"verb,noun,plural,common",False
COAXIAL,"What's always together, but not quite parallel",False,True,False,"electronics,cables,wires",False
COAXING,Gently persuading someone with flattery or promises,False,True,False,"verb,language,communication",False
COAXINGLY,"Acting in an enticing manner, with a suffix",False,True,False,"adverb,suffix",False
COAXY,"A comforting, snug feeling",False,True,False,"adjective,comfort,sleep",False
COAZERVATION,What you might do to protect nature's treasures,False,True,False,"environment,nature,ecology,conservation,sustainability",False
COBAEA,A type of fabric once prized by royalty.,False,True,False,"fabric,clothing,history",False
COBALAMIN,"A vitamin found in meat, essential for proper red blood cell formation",False,True,False,"vitamin,nutrient,chemistry",False
COBALAMINE,"A vitamin found in liver that starts with C, ends with E, and has a B in the middle",False,True,False,"vitamins,chemistry,nutrition,medicine",False
COBALT,"A metal that's blue in hue, often used in alloys too",False,True,False,"color,chemistry,metals,materials,art,paints",False
COBALTAMINE,"A mineral that's blue, found in soil and water, not a cobalt car or mine.",False,True,False,"chemistry,minerals,nutrients,vitamins",False
COBALTIC,"A deep, vivid blue color",False,True,False,"color,adjective",False
COBALTOUS,"Like a deep, rich blue, but not quite cobalt",False,True,False,"color,adjective",False
COBB,"A roofer's tool, not a cobbler's last",False,True,False,"occupation,crafts,building",False
COBBED,"What a cobbler does to shoes, but not quite as well",False,True,False,"verb,shoe-related",False
COBBER,"A friendly term, often used in Australia for a close friend or comrade.",False,True,False,"noun,surname,slang,Australia",False
COBBERS,Aggressive waves that break,False,True,True,"ocean,weather,nautical,marine",False
COBBIER,"A maker of shoes, or a dish with pieces of fruit in syrup.",False,True,False,"food,crafts",False
COBBIN,"A place where cobs are stored, before being sold",False,True,False,"food,locations,crops",False
COBBING,"A technique used to smooth out rough surfaces in art, often involving the use of a tool",False,True,False,"art,crafts,tools",False
COBBLE,"A material used to pave streets, once worn by a certain shoe type.",False,True,False,"material,construction,old-fashioned,street,fashion",False
COBBLED,"A road made by putting together pieces of stone, brick, or wood",False,True,False,"road,construction,materials,craftsmanship",False
COBBLER,"A shoe maker, not to be confused with a fruit dessert",False,True,False,"noun,occupation,crafts",False
COBBLERISM,"A craft involving shoe repairs, but not a type of political system.",False,True,False,"shoe-making,crafts",False
COBBLERLESS,"Without a cobbler, one who mends shoes",False,True,False,"antonyms,synonyms,numerals,letters",False
COBBLERS,"Shoe repairers, in a way",False,True,True,"plural,noun,occupation",False
COBBLERSHIP,"A craft, not an art",False,True,False,"occupation,noun",False
COBBLERY,"A cobbler's craft, not a fruit tart",False,True,False,"occupation,craft,trades",False
COBBLES,"Pebbles scattered on the ground, not too big but not small either.",False,True,False,"geology,nouns,materials",False
COBBLESTONE,A type of stone used in old-fashioned streets,False,True,False,"material,construction,archaeology,historical",False
COBBLESTONED,"A street covered in uneven, rough-surfaced stones",False,True,False,"street,surfaces,construction,architecture,landscaping",False
COBBLESTONES,"Paved with these, a street's uneven path.",False,True,True,"material,construction,architecture,street,old-fashioned",False
COBBLING,The craft of mending shoes,False,True,False,"craft,repair,shoes",False
COBBLY,"Like a cobblestone street, uneven and bumpy",False,True,False,"adjective,terrain",False
COBBRA,"A venomous snake, not a type of car",False,True,False,"animal,snake,venomous,reptile",False
COBBS,"A street in Harlem, not a typo for 'cobs'",False,True,False,"geography,name",False
COBBY,"A type of bread in Devonshire, often used for sandwiches.",False,True,False,"food,bread,UK,cuisine",False
COBELIEVER,"A follower who comes late to the faith, not an early adopter of religious beliefs",False,True,False,"religion,synonyms,grammar",False
COBEWAIL,"A verb meaning to lament or mourn, often with tears.",False,True,False,"verb,language,emotion",False
COBHEAD,"A type of fisherman, not a hairstyle",False,True,False,"fishermen,nautical,occupations",False
COBHOUSE,"A house made of cob, not straw but a different kind of building material.",False,True,False,"architecture,housing,construction",False
COBIA,"A fish that's not a carp, but swims with speed and grace",False,True,False,"animals,fish",False
COBIAS,"Fish that sounds like it's missing a vowel, but isn't",False,True,False,"animals,fish",False
COBIRON,"He who speaks his mind, but with a touch of scorn",False,True,False,"proper noun, literature, historical figure",False
COBITIS,A type of beetle found in damp environments,False,True,False,"insects,beetles,entomology,nature",False
COBLE,"A type of fabric, often used in clothing",False,True,False,"fabric,clothing,textiles",False
COBLEMAN,"A man named Cobble, who's always on the cobblestone path.",False,True,False,"name,people",False
COBLES,"A type of medieval fortification, often found near rivers",False,True,True,"history,architecture",False
COBLESKILL,A town in New York known for its unusual name.,False,True,False,"geography,odd-names",False
COBLESS,"Without money, like a beggar.",False,True,False,"adjective,language",False
COBLOAF,"A type of bread, but not quite a loaf...",False,True,False,"food,bread",False
COBNUT,"A nut that comes from a cob, not your typical fruit crop",False,True,False,"nuts,fruits,crops",False
COBNUTS,"A nut that's a type of cob, not found in many a hob.",False,True,True,"nouns,food,trees",False
COBOURG,A place where cobras might not roam freely,False,True,False,"geography,history",False
COBRA,"A venomous snake found in Africa, often associated with danger",False,True,False,"animal,snake,venomous,dangerous",False
COBRAS,Venomous serpents found in tropical regions,False,True,True,"animals,snakes,reptiles,tropical,venom",False
COBRIDGEHEAD,"A desert-dwelling coyote with a long, bushy tail.",False,True,False,"animals,mammals,north_american_wildlife",False
COBRIFORM,"Like a snake, but not quite venomous",False,True,False,"adjective,zoology",False
COBS,What bread is baked fresh daily,False,True,False,"food,bread",False
COBURG,"A city in Germany, once ruled by Saxon dukes.",False,True,False,"geography,historical,city",False
COBURGHER,"A person from Coburg, a town in Germany",False,True,False,"geography,human,occupation",False
COBURGHERSHIP,"A royal title, a mouthwatering meal",False,True,False,"royalty,cuisine",False
COBUS,"A large, tailless primate native to Africa.",False,True,False,"animal,mammal,primate",False
COBWEB,A tangled mess of strings spun by a spider.,False,True,False,"animal,network,texture",False
COBWEBBED,"Like a spider's web, but covering someone's mind",False,True,False,"adjectives,nouns,verbs",False
COBWEBBIER,"Like a spider's web, but more so in coverage",False,True,False,"adjectives,nouns",False
COBWEBBING,"A tangled mess, not a code or spell.",False,True,True,"spider,websites,tangled,mess,network,web,clothing,homemade,fabric",False
COBWEBBY,"Like a spider's web, but used to describe someone's hair",False,True,False,"adjective,fashion,hairstyle",False
COBWEBS,"What might spook a mouse, but not a bird",False,True,True,"spider,web,clothing,haunted,halloween,fear,mice,birds,nature",False
COCA,"A plant leaf chewed in South America, not coffee",False,True,False,"drug,plant,south america",False
COCAIGNE,"A powerful stimulant, often abused in society.",False,True,False,"drug,narcotic,stimulant,illicit",False
COCAIN,"A powerful, addictive illicit drug derived from coca leaves",False,True,False,"drug,narcotic,recreational_drug,street_drug",False
COCAINE,"A powerful, addictive drug often associated with recreational use",False,True,False,"drug,narcotics,recreation,culture,social_issues",False
COCAINISATION,"When drugs take over a community, it's time to...",False,True,True,"drug,social,issue,pop-culture",False
COCAINISED,"Like a drug-addled artist's work, but in past participle form",False,True,False,"drug,past,tense,adjective",False
COCAINISING,"Acting in an extremely excited manner, possibly due to drug use",False,True,False,"drug,slang,verb",False
COCAINISM,"A dangerous addiction, not found in cola",False,True,False,"drug,addiction,social_issue",False
COCAINIST,"A person who's high on coke, not a priest",False,True,False,"drug,slang,human_behavior",False
COCAINIZATION,The act of making something excessively cool or exciting,False,True,False,"drugs,culture,slang,social,phrases",False
COCAINIZE,"To transform something into an exciting, intense experience",False,True,False,"drug,narcotic,recreational,drugs,intense,exciting,transform",False
COCAINIZING,"Acting in an exaggerated, hyperactive manner, like a person on cocaine",False,True,False,"drug,slang,verb,trend,behavior",False
COCAINOMANIA,"A compulsion for cocaine, like an addiction mania.",False,True,False,"drug,addiction,psychology,medicine,vocabulary",False
COCAINOMANIAC,"A person addicted to cocaine, in a long phrase",False,True,False,"drug,addiction,psychology,social,language",False
COCAINS,"A drug dealer's stash, not found in a pharmacy",False,True,True,"drug,narcotics,crime,slang",False
COCAMA,"A plant leaf often chewed, containing cocaine",False,True,False,"drug,plant,leaf,south american",False
COCAMAMA,"A mother who's not mom or mama, but a clue to her title",False,True,True,"family,surnames",False
COCAO,"A chocolate lover's dream, not found in a cow or soybean.",False,True,False,"food,chocolate,cocoa,ingredient",False
COCAS,A type of bird known for their colorful plumage,False,True,True,"animals,names,plural,birds",False
COCASH,"A soft drink company's initials, once spelled out in script on the front of their delivery trucks.",False,True,False,"brand,names,transportation,logos",False
COCASHWEED,"A plant that's green, but not a tree",False,True,False,"plant,weed,crops",False
COCCAGEE,What a cockney might call sea,False,True,False,"geography,language,slang",False
COCCAL,A bird with a red beak,False,True,False,"bird,colors",False
COCCERIN,A type of Italian pasta shaped like a 'C',False,True,False,"food,cuisine,Italian,pasta,shape",False
COCCIC,"The tailbone, often overlooked",False,True,False,"anatomy,body,parts",False
COCCIDIAN,A believer in cockroaches,False,True,False,"religion,bugs",False
COCCINEOUS,What color are chicken feathers,False,True,False,"color,feathers,chicken",False
COCCIONELLA,A beetle with a ladybug-like appearance.,False,True,False,"insects,nature,coleoptera",False
COCCO,"A bird that's not a duck, but lays eggs in a nest",False,True,False,"animals,birds,nesting,egg-layers",False
COCCOLOBA,"A tree with a long name, its fruit used in drinks.",False,True,False,"tree,fruit,drinks",False
COCCOLOBIS,"A large, flightless bird once found in New Zealand.",False,True,False,"animal,bird,extinct",False
COCCOUS,"A type of bread, not quite a crumb nor a loaf",False,True,False,"food,baking",False
COCCYGES,What's often used to describe a bird's tail,False,True,True,"anatomy,biology,zoology,ornithology",False
COCCYGINE,"The tailbone, but not the bird's last name",False,True,False,"anatomy,body_part",False
COCCYODYNIA,A pain in the you-know-where,False,True,False,"body part,medical condition",False
COCCYX,"The tailbone, not the feathered friend",False,True,False,"anatomy,body,part,human",False
COCCYXES,"What's plural, painful, and located below",False,True,True,"body part,suffix",False
COCENTRIC,"Not quite round, not quite fair",False,True,False,"adjective,geometry",False
COCHAIR,"A leader, but not alone",False,True,False,"noun,furniture,leadership,meeting",False
COCHAIRMAN,"A leader who shares the responsibility, but not the title",False,True,False,"title,politics,government,leadership",False
COCHAIRMEN,"They share the chair, but not the view",False,True,True,"plural,nouns,politics",False
COCHAIRS,"Seats for two, but not in a car",False,True,True,"furniture,seating,decorative,interior_design",False
COCHER,"A carriage driver, not a French pastry",False,True,False,"occupation,historical,transportation",False
COCHERO,"A person who drives a coach, not a computer program",False,True,False,"noun,transportation,human-occupation",False
COCHIEF,"A leader without an army, but with a title",False,True,False,"title,government,leadership",False
COCHIN,"A port city in Kerala, India, known for its spices",False,True,False,"city,country,geography,India,port",False
COCHINEAL,A red dye made from insects,False,True,False,"color,plant,dye,insect",False
COCHINS,"A type of feathered fowl, not a clockwork device.",False,True,False,"animals,birds,chicken_varieties",False
COCHLEARY,"A term related to snails, in a spiral way",False,True,False,"adjective,nature,animals",False
COCHLEATE,"Like a snail's shell, this adjective describes something spiral-shaped.",False,True,False,"shape,descriptive,adjective",False
COCHON,"A pig, but not just any swine...",False,True,False,"animal,pig,french,cuisine",False
COCHRANEA,"A genus of flowering plants, often found in dry regions.",False,True,False,"botany,plants,flora,genus,dry-regions",False
COCIN,"A chef in the kitchen, not a bird in the sky.",False,True,False,"verb,noun,culinary",False
COCINERA,"A skilled chef, often found in a kitchen",False,True,False,"noun,language,Spanish",False
COCINERAS,"A group of female chefs, each cooking up a storm.",False,True,True,"plural,nouns,cuisine,food,cooking,chefs",False
COCINERO,"A chef's title, but not in France",False,True,False,"title,occupation,language,Spanish",False
COCIRCULAR,"Around and around, in perfect circles, these wires share a common path.",False,True,False,"electronics,cables,wireless,communications",False
COCIRCULARITY,What's another word for 'circularity',False,True,False,"geometry,mathematics,vocabulary",False
COCITIZEN,"A person from Cocoland, not a naturalized citizen",False,True,False,"geography,fictional,imaginary",False
COCITIZENSHIP,What you get when a COCI becomes part of a country's population,False,True,False,"government,legal,status",False
COCK,A bird that crows at the break of dawn,False,True,False,"animal,bird",False
COCKADE,"A decorative object worn on one's head, often with feathers",False,True,False,"decorations,hats,clothing",False
COCKADES,"What you might wear on your head, if you're a rooster or a French revolutionary",False,True,True,"noun,headwear,history,animals",False
COCKADOODLEDOO,"A long, fanciful name for a chicken",False,True,False,"animal,bird,chicken",False
COCKAIGNE,A place where pleasure reigns supreme,False,True,False,"history,geography,language",False
COCKALAN,"A bird that's not quite a rooster, but similar in sound",False,True,False,"animals,birds,nature",False
COCKALEEKIE,"A dish with chicken and rice, not a rooster's look.",False,True,False,"food,cuisine,dish,chicken,rice",False
COCKALORUM,"A bird that crows, not a rooster's cousin",False,True,False,"animal,bird,noun",False
COCKAMAMIE,"A silly, foolish, or ridiculous person or thing.",False,True,False,"adjective,silly,foolish",False
COCKAMAMY,"A head full of nonsense, but not a bird's cry.",False,True,False,"adjective,silly,odd,confusing",False
COCKAMAROO,"A silly, awkward person's behavior",False,True,False,"slang,idiom",False
COCKANDY,"A type of toffee, but not a bird and honey mixture.",False,True,False,"food,treat,sweet,candy",False
COCKAPOO,"A playful, non-shedding dog breed with a curly coat",False,True,False,"dog,breed,curly,coat,non-shedding,playful",False
COCKAPOOS,A breed of dogs known for their curly fur and friendly nature.,False,True,False,"dogs,breeds,curly,fur,friendly",False
COCKARD,"A person who lacks courage, running scared",False,True,False,"noun,idiom,slang",False
COCKATEEL,"A bird with a crest, not a rooster or duck",False,True,False,"bird,noun,animal",False
COCKATIEL,"A small parrot with a crest, often kept as a pet",False,True,False,"bird,pet,parrot,colorful",False
COCKATOO,"A large parrot, not a rooster",False,True,False,"bird,parrot,type",False
COCKATOOS,"Feathered friends that are not crows or jays, but still quite talkative",False,True,True,"animals,birds,pets,talking",False
COCKBILL,"A type of sundial, not something a rooster does",False,True,False,"sundials,nouns,archaeology",False
COCKBILLS,What might crow in the sky,False,True,True,"bird,sky",False
COCKBIRD,"A male bird, not yet a rooster",False,True,False,"bird,nature",False
COCKBOAT,A ship's boat with a curved stem,False,True,False,"nautical,ship,boat,vocabulary",False
COCKBOATS,"A type of boat, but not a duck's vessel",False,True,True,"nautical,vessel,type,water",False
COCKBRAIN,"A person who thinks they're very smart, but isn't.",False,True,False,"insult,arrogance,intelligence",False
COCKCROW,"When the rooster crows, this happens at dawn.",False,True,False,"bird,time,sky,vocabulary",False
COCKCROWS,"Birds that crow at dawn, not chickens",False,True,True,"animals,nouns",False
COCKED,"As in, a gun that's ready to fire",False,True,False,"gun,phrase,slang",False
COCKER,A person who tends to a specific breed of dog,False,True,False,"dog,occupation,noun",False
COCKERED,A hat turned to the right side,False,True,False,"hat,orientation,verb",False
COCKEREL,"A young male chicken, not yet ready to rule.",False,True,False,"animal,bird,poultry",False
COCKERELS,"Male chickens, often heard crowing",False,True,True,"animals,poultry,noises",False
COCKERIE,"A place where birds are kept, not a fancy hotel room.",False,True,False,"bird,fowl,agriculture,rural",False
COCKERMEG,"A dog breed known for its long, droopy ears",False,True,False,"dogs,breeds,pets",False
COCKERNONNIE,A type of Scottish shortbread cookie,False,True,False,"food,cookies,baking,Scottish,cake,pastries",False
COCKERNONY,A type of old-fashioned English bread,False,True,False,"food,history,culture",False
COCKEROUSE,"A hen that crows like a rooster, but it's not a rooster at all!",False,True,False,"animals,birds,chicken_variety",False
COCKERS,"A group of birds with colorful crests, often seen in urban parks",False,True,True,"birds,nature,urban,crested,poultry",False
COCKETED,What do you call fish that have been caught,False,True,False,"verb,language,grammar",False
COCKETING,What sailors do when they're feeling seasick,False,True,False,"nautical,slang,medical",False
COCKEYE,"A bird's eye with a crooked appearance, perhaps",False,True,False,"bird,nature,disability",False
COCKEYED,"An eye that's not quite level, a crooked sight to behold.",False,True,False,"adjective,sight,appearance",False
COCKEYEDLY,"Walks with a limp, but not literally",False,True,False,"adverb,synonyms:unevenly",False
COCKEYEDNESS,"An eye condition causing misalignment, making one appear crossed.",False,True,False,"anatomy,diseases,medical,ophthalmology",False
COCKEYES,What you might call birds with crossed eyes,False,True,True,"birds,eyes,vocabulary",False
